numLarge: 1604	numTooSmall: 396
raceLarge: 38	raceSmall: 7
939527	4
846760	2
258216	134
777788	8
809691	27
523380	1065
946740	42
589074	6
735728	32
746540	21
746540	21
695511	100
649248	16
389756	2
929897	33
791909	311
862122	16
816447	4
414430	12
673437	177
487456	12
277544	12
277544	12
805525	579
933271	38
687239	23
316573	341
598161	42
592199	24
592199	24
523368	60
547607	16
383372	46
648415	5
511583	22
579052	13
689544	32
383878	11
383878	11
741484	4
642742	6
816272	1
791326	30
657269	4
798602	29
